date,region,total_cc,imported_cc,sub_total_epilinks_cc,shincheonji_cc,small_clusters_cc,contacts_cc,epi_link_imported_cc,other_cc,new_cc,other_major_epilinks
02/04/2020,Gangwon,39,8,23,17,6,0,0,8,1,"Apartments  in  Wonju City   (3),
etc."
02/04/2020,"Chung-
buk",44,4,32,6,18,6,2,8,0,"Goesan-gun  Jangyeon-myeon
(11)"
02/04/2020,Chung- nam,133,8,117,0,114,3,0,8,2,"Gym  facilities  in  Cheonan (103), research  center  in Seosan (8),
etc."
02/04/2020,"Jeon-
buk",14,6,3,1,2,0,0,5,0,
02/04/2020,"Jeon-
nam",14,5,7,1,3,2,1,2,2,Manmin Central Church  (2)
02/04/2020,Gyeong- buk,1304,7,1164,562,412,189,1,133,2,"Cheongdo  Daenam Hospital (120),  Bonghwa Pureun Nursing Home (68),  pilgrimage  to Israel (49),  Gyeongsan  Seo
Convalescent Hospital  (46), etc."
02/04/2020,Gyeong- nam,106,10,76,32,37,7,0,20,6,"Geochang  Church  (10), Geochang  Woongyang-myeon
(7),  etc."
02/04/2020,Jeju,9,5,0,0,0,0,0,4,0,
02/04/2020,Airport,242,242,0,0,0,0,0,0,18,
02/04/2020,Total,9976,601,8309,5175,1796,1259,79,1066,89,
03/04/2020,Seoul,506,148,319,7,239,31,42,39,18,"Guro-gu  call  center  (98),
Dong-an  Church-PC  Cafe  (20), Manmin  Central  Church  (38),
etc."
03/04/2020,Busan,122,12,80,12,50,18,0,30,0,"Onchun  Church  (32),
Suyeong-gu  Kindergarten  (5),
etc."
03/04/2020,Daegu,6734,7,5986,4478,582,923,3,741,9,"Second  Mi-Ju  Hospital  (151), Hansarang  Convalescent Hospital  (123),  Daesil
Convalescent  Hospital  (97),  etc."
03/04/2020,Incheon,74,27,43,2,33,4,4,4,1,"Guro-gu  call  center  (20),  etc."
03/04/2020,Gwangju,26,9,16,9,0,1,6,1,1,
03/04/2020,Daejeon,36,6,21,2,11,8,0,9,0,"Korea  Forest  Engineer Institute
(3),  etc."
03/04/2020,Ulsan,40,9,24,16,1,4,3,7,0,
03/04/2020,Sejong,46,3,42,1,38,3,0,1,0,"Ministry  of  Oceans  and  Fisheries
(30),  gym  facilities  (8)"
03/04/2020,Gyeonggi,539,107,389,29,274,63,23,43,23,"Grace  River  Church  in Seongnam  (72),  Guro-gu  call center-Bucheon  SaengMyeongSu Church  (48),  Uijeongbu  St.
Mary’s  Hospital  (19),  etc."
03/04/2020,Gangwon,41,8,25,17,6,2,0,8,2,"Apartments  in  Wonju  City   (3),
etc."
03/04/2020,"Chung-
buk",45,4,32,6,18,6,2,9,1,"Goesan-gun  Jangyeon-myeon
(11)"
03/04/2020,Chung- nam,134,8,119,0,118,1,0,7,1,"Gym  facilities  in  Cheonan  (103), research  center  in  Seosan  (8),
etc."
03/04/2020,"Jeon-
buk",15,6,3,1,2,0,0,6,1,
03/04/2020,"Jeon-
nam",15,6,7,1,3,2,1,2,1,Manmin  Central  Church  (2)
03/04/2020,Gyeong- buk,1309,7,1168,562,413,192,1,134,5,"Cheongdo  Daenam  Hospital (120),  Bonghwa  Pureun  Nursing Home  (68),  pilgrimage  to  Israel (49),  Gyeongsan  Seo
Convalescent  Hospital  (58),  etc."
03/04/2020,Gyeong- nam,107,11,78,32,41,5,0,18,1,"Geochang  Church  (10), Geochang  Woongyang-myeon
(8),  Wings  Tower  (7),  etc."
03/04/2020,Jeju,9,5,0,0,0,0,0,4,0,
03/04/2020,Airport,264,264,0,0,0,0,0,0,22,
03/04/2020,Total,10062,647,8349,5176,1825,1263,85,1066,86,
04/04/2020,Seoul,528,162,321,7,240,26,48,45,22,"Guro-gu call center (98),
Dong-an Church-PC Cafe (20), Manmin Central Church (38), etc."
04/04/2020,Busan,122,12,80,12,50,18,0,30,0,"Onchun Church (32), Suyeong-gu Kindergarten (5), etc."
04/04/2020,Daegu,6761,8,6010,4480,608,919,3,743,27,"Second  Mi-Ju  Hospital (170), Hansarang  Convalescent Hospital  (123), Daesil
Convalescent  Hospital  (98),
Fatima  Hospital(33),  etc."
04/04/2020,Incheon,77,29,44,2,34,4,4,4,3,"Guro-gu call  center (20),  etc."
04/04/2020,Gwangju,26,10,16,9,0,1,6,0,0,
04/04/2020,Daejeon,36,6,21,2,11,8,0,9,0,"Korea Forest Engineer  Institute
(3),  etc."
04/04/2020,Ulsan,40,9,24,16,1,4,3,7,0,
04/04/2020,Sejong,46,3,42,1,38,3,0,1,0,"Ministry of Oceans  and Fisheries
(30),  gym facilities  (8)"
04/04/2020,Gyeonggi,562,110,408,29,279,66,34,44,23,"Grace  River Church  in  Seongnam  (72), Guro-gu call center-Bucheon  SaengMyeongSu Church  (48),  Uijeongbu  St.
Mary’s  Hospital (25),  etc."
04/04/2020,Gangwon,42,8,26,17,8,1,0,8,1,"Apartments  in  Wonju City   (3), Uijeongbu  St.  Mary’s  Hospital
(3),  etc."
04/04/2020,"Chung-
buk",45,5,32,6,18,6,2,8,0,Goesan-gun Jangyeon-myeon (11)
04/04/2020,"Chung-
nam",135,8,119,0,117,1,1,8,1,"Gym facilities in Cheonan (103),
research center in Seosan (9), etc."
04/04/2020,"Jeon-
buk",15,7,3,1,2,0,0,5,0,
